# qstring	phrase	weight	tags
# Japan_Travel board: manually reviewed Japanese place names and travel terms.
# Weights use a log-continuous mapping of combined corpus count 3..545 onto -2.4..-2.0.
# This combines the current crawl with the cached PTT-pretrain-zhtw Japan_Travel corpus.
4_kG	四条	-2.101808	chiaki-modern-overlay,manual,reviewed,japan-travel
4_kG0>	四条通	-2.233955	chiaki-modern-overlay,manual,reviewed,japan-travel
4_kG|_3>	四条大宮	-2.281554	chiaki-modern-overlay,manual,reviewed,japan-travel
?0TJ4_kG	祇園四条	-2.334850	chiaki-modern-overlay,manual,reviewed,japan-travel
4_kG\0>J	四条烏丸	-2.346703	chiaki-modern-overlay,manual,reviewed,japan-travel
4_kG|_rG	四条大橋	-2.360722	chiaki-modern-overlay,manual,reviewed,japan-travel
vUCi	北見	-2.130377	chiaki-modern-overlay,manual,reviewed,japan-travel
vHd=	流冰	-2.082248	chiaki-modern-overlay,manual,reviewed,japan-travel
X<`0	倉敷	-2.152498	chiaki-modern-overlay,manual,reviewed,japan-travel
?>KZ=M	松本城	-2.149482	chiaki-modern-overlay,manual,reviewed,japan-travel
]iS_	釧路	-2.162327	chiaki-modern-overlay,manual,reviewed,japan-travel
WBA_0>	國際通	-2.162327	chiaki-modern-overlay,manual,reviewed,japan-travel
nHL_ci?0P;	由布院之森	-2.206826	chiaki-modern-overlay,manual,reviewed,japan-travel
R0S_	姬路	-2.043881	chiaki-modern-overlay,manual,reviewed,japan-travel
mJE0	門司	-2.211099	chiaki-modern-overlay,manual,reviewed,japan-travel
FMV_	名護	-2.222952	chiaki-modern-overlay,manual,reviewed,japan-travel
dM5J	弘前	-2.169655	chiaki-modern-overlay,manual,reviewed,japan-travel
wIWB	岩國	-2.236971	chiaki-modern-overlay,manual,reviewed,japan-travel
IJ{Hr\=M	環球影城	-2.128105	chiaki-modern-overlay,manual,reviewed,japan-travel
M<C:=M	岡山城	-2.246800	chiaki-modern-overlay,manual,reviewed,japan-travel
rgBbTJ	後樂園	-2.144705	chiaki-modern-overlay,manual,reviewed,japan-travel
CWU:]O	草千里	-2.236971	chiaki-modern-overlay,manual,reviewed,japan-travel
N:DY3>	天滿宮	-2.075936	chiaki-modern-overlay,manual,reviewed,japan-travel
mJE0\[	門司港	-2.231053	chiaki-modern-overlay,manual,reviewed,japan-travel
AM]K=A	層雲峽	-2.211099	chiaki-modern-overlay,manual,reviewed,japan-travel
g:T0WBA_R0c[	關西國際機場	-2.225559	chiaki-modern-overlay,manual,reviewed,japan-travel
LW~0	鳥居	-2.000000	chiaki-modern-overlay,manual,reviewed,japan-travel
NOWl4@	指定席	-2.164693	chiaki-modern-overlay,manual,reviewed,japan-travel
x7U:Gf	高千穗	-2.254129	chiaki-modern-overlay,manual,reviewed,japan-travel
9K4>=M	臨空城	-2.254129	chiaki-modern-overlay,manual,reviewed,japan-travel
xUWB{;	美國村	-2.161171	chiaki-modern-overlay,manual,reviewed,japan-travel
];}^	今治	-2.258073	chiaki-modern-overlay,manual,reviewed,japan-travel
FMp?	明石	-2.123049	chiaki-modern-overlay,manual,reviewed,japan-travel
}MKZ=M	熊本城	-2.233955	chiaki-modern-overlay,manual,reviewed,japan-travel
